year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.7,14.9,21.5,11.0
1988,8.2,15.7,20.1,10.5
1989,8.4,15.8,21.3,11.9
1990,9.5,15.8,21.7,9.7
1991,7.5,14.1,22.3,9.3
1992,7.0,15.2,20.6,10.3
1993,7.5,15.8,19.5,9.8
1994,8.3,15.3,21.8,11.4
1995,7.6,15.4,20.6,11.4
1996,7.7,15.9,19.4,9.8
1997,9.2,16.2,21.5,11.3
1998,8.8,15.9,20.9,8.6
1999,7.5,16.3,21.8,9.3
2000,7.8,16.4,20.6,11.1
2001,9.0,15.9,20.6,9.4
2002,8.8,15.9,19.8,11.4
2003,6.9,18.1,23.6,10.3
2004,7.0,15.9,21.4,10.2
2005,5.7,16.9,20.8,9.3
2006,6.6,17.1,22.3,11.7
2007,8.2,17.1,20.0,9.1
2008,8.6,16.0,20.6,9.3
2009,6.9,16.7,22.0,10.9
2010,5.7,15.7,21.2,8.9
2011,7.5,17.2,21.3,12.0
2012,6.3,16.3,21.6,11.0
2013,6.0,13.9,21.5,10.2
2014,8.6,16.4,20.2,11.7
2015,6.7,17.1,21.0,11.3
2016,8.2,15.4,21.5,10.5
