year,F1,F3,M4
,label F1,label F3,label M4
1987,51,124,4
1988,49,121,6
1989,38,115,5
1990,33,115,5
1991,46,130,5
1992,46,113,4
1993,48,127,5
1994,36,122,2
1995,38,120,3
1996,40,117,6
1997,49,126,4
1998,37,111,5
1999,54,115,7
2000,35,128,3
2001,38,124,2
2002,50,113,3
2003,41,103,3
2004,55,119,3
2005,38,118,5
2006,48,119,5
2007,44,111,4
2008,37,124,3
2009,55,124,4
2010,31,104,3
2011,52,127,6
2012,43,124,5
2013,45,108,6
2014,52,120,5
2015,30,124,4
2016,35,119,4
2016
2017,33,116,5
2018,31,114,6
2019,35,107,6
2020,30,109,5
2021,33,118,5
2022,35,111,5
2023,30,119,4
2024,28,116,7
2025,30,100,4
2026,48,113,6
2027,29,114,7
2028,24,112,7
2029,29,105,5
2030,25,117,7
2031,34,117,5
2032,32,112,6
2033,25,116,7
2034,35,119,8
2035,22,121,6
2036,30,110,5
2037,39,103,7
2038,30,103,7
2039,31,108,7
2040,29,126,5
2041,21,110,5
2042,41,113,6
2043,30,114,3
2044,22,112,5
2045,34,118,6
2046,18,115,6

min,,70
max,,140
steps,,11
decimal


