year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-8,-180,-261,-38
1988,103,100,-278,-83
1989,17,-230,-322,-72
1990,-25,-157,-335,65
1991,16,-143,-259,23
1992,-40,51,-228,171
1993,-104,20,-91,96
1994,60,-52,-254,11
1995,108,-108,-142,59
1996,62,-209,-145,141
1997,-29,-174,-262,52
1998,-45,-152,-272,55
1999,33,-114,-233,187
2000,-18,-71,-236,114
2001,46,-125,-299,-51
2002,-46,-141,-187,133
2003,-2,-322,-384,138
2004,83,-172,-325,59
2005,-32,-211,-249,54
2006,108,-325,-251,-11
2007,51,-113,-274,-21
2008,40,-15,-342,150
2009,-42,-81,-356,139
2010,61,-146,-381,57
2011,38,-309,-268,25
2012,-81,-112,-331,57
2013,154,-85,-254,101
2014,114,-187,-142,37
2015,101,-189,-234,-38
2016,146,-124,-312,32
