year,A1,A2,A3
,label A1,label A2,label A3
1987,44,2324,285
1988,48,2254,331
1989,37,2116,257
1990,51,2053,353
1991,36,2315,250
1992,37,2168,266
1993,28,2356,262
1994,29,2294,238
1995,58,2118,320
1996,25,2237,229
1997,34,2310,280
1998,35,2060,226
1999,40,2204,338
2000,13,2249,182
2001,13,2138,124
2002,26,2177,198
2003,37,1989,270
2004,54,2130,339
2005,20,2271,205
2006,38,2201,248
2007,28,2197,213
2008,28,2100,219
2009,42,2316,300
2010,52,1971,352
2011,30,2264,233
2012,46,2204,299
2013,35,2001,252
2014,30,2085,246
2015,51,2171,349
2016,54,2118,349
2016
2017,55,1917,403
2018,69,1889,449
2019,53,1932,358
2020,64,1819,448
2021,52,2072,420
2022,71,1960,482
2023,62,2060,447
2024,42,1900,379
2025,77,1780,476
2026,58,2087,361
2027,59,1909,477
2028,62,1982,404
2029,61,1801,464
2030,52,1828,428
2031,85,1929,520
2032,58,1984,403
2033,63,1892,447
2034,49,1963,325
2035,60,1915,408
2036,56,1948,381
2037,71,1829,502
2038,83,1650,557
2039,83,1917,545
2040,72,2147,456
2041,66,1787,469
2042,74,1999,461
2043,62,1959,394
2044,59,1920,373
2045,56,1979,380
2046,42,1882,317

min,,1200
max,,2550
steps,,10
decimal



