year,annual-frozen-days
1987,50
1988,25
1989,29
1990,18
1991,38
1992,32
1993,32
1994,12
1995,25
1996,39
1997,26
1998,27
1999,15
2000,20
2001,33
2002,8
2003,28
2004,36
2005,40
2006,39
2007,21
2008,33
2009,37
2010,68
2011,21
2012,30
2013,34
2014,8
2015,25
2016,28
2017,35
2018,25
2019,21
2020,7
