year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,5,-128,-215,159
1988,189,-163,-170,9
1989,40,-220,-306,124
1990,111,-158,-306,111
1991,86,-98,-193,74
1992,-17,-149,-156,97
1993,-18,-83,-149,78
1994,102,-120,-114,108
1995,187,-213,-222,51
1996,35,-198,-259,67
1997,8,-113,-229,93
1998,17,-55,-120,150
1999,54,-83,-171,151
2000,12,-105,-103,279
2001,242,-152,-127,51
2002,50,-161,-174,283
2003,20,-220,-241,124
2004,75,-207,-151,73
2005,-16,-150,-254,106
2006,70,-218,-202,151
2007,97,-70,-112,34
2008,121,-95,-163,91
2009,46,-100,-228,164
2010,59,-229,-235,158
2011,9,-266,-107,75
2012,-25,-28,-166,225
2013,112,-88,-224,228
2014,199,-127,-128,153
2015,68,-166,-133,48
2016,179,-66,-258,38
2017,48,-156,-130,104
2018,123,-102,-266,113
2019,19,-131,-272,278
2020,105,-152,-231,170
