year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,96,156,75,241
1988,291,131,109,87
1989,136,91,33,210
1990,199,104,36,177
1991,156,125,93,123
1992,61,130,101,164
1993,72,183,135,164
1994,193,163,177,186
1995,293,83,120,140
1996,139,87,71,149
1997,99,194,87,181
1998,113,210,171,228
1999,151,185,150,238
2000,104,168,192,363
2001,332,145,179,137
2002,160,125,131,372
2003,138,108,118,213
2004,183,102,152,159
2005,83,144,78,195
2006,165,80,139,240
2007,202,207,155,110
2008,222,191,128,171
2009,146,180,76,251
2010,160,84,87,235
2011,110,62,181,163
2012,80,243,128,304
2013,196,168,110,311
2014,307,159,168,237
2015,160,133,180,135
2016,280,191,72,114
2017,144,158,164,179
2018,213,203,77,204
2019,120,158,88,359
2020,218,177,107,254
