year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.7,13.3,18.4,8.7
1988,7.3,14.1,17.0,9.5
1989,7.7,14.1,19.0,10.1
1990,9.0,14.1,19.2,9.1
1991,5.9,12.4,19.3,8.2
1992,6.4,14.2,18.0,9.3
1993,7.2,14.2,16.7,8.1
1994,8.4,13.5,18.4,11.1
1995,8.0,13.7,19.2,9.7
1996,6.4,13.4,17.6,8.4
1997,7.2,14.2,19.1,10.4
1998,7.6,13.9,17.4,9.0
1999,8.1,14.5,19.4,9.6
2000,7.3,14.4,18.3,10.2
2001,7.8,14.0,18.3,9.6
2002,9.0,13.9,17.8,10.9
2003,7.2,15.4,20.2,9.6
2004,7.0,13.9,18.2,9.3
2005,7.0,14.3,18.4,9.4
2006,5.5,14.6,19.8,10.7
2007,8.6,15.1,16.5,8.4
2008,7.7,14.0,16.8,8.4
2009,5.8,14.0,17.7,9.8
2010,5.3,13.7,17.9,7.5
2011,7.8,14.9,17.6,11.3
2012,7.1,13.3,17.2,9.7
2013,5.5,12.3,19.0,10.0
2014,8.3,13.9,18.1,10.8
2015,6.5,14.3,17.8,11.4
2016,7.1,13.4,19.1,8.5
2017,7.2,14.6,17.9,9.7
2018,6.7,15.3,18.9,10.2
2019,7.6,13.7,19.0,9.8
2020,8.7,15.5,18.7,10.2
