year,annual-precipitations
1987,568
1988,617
1989,469
1990,515
1991,498
1992,456
1993,554
1994,719
1995,636
1996,445
1997,560
1998,722
1999,724
2000,826
2001,793
2002,788
2003,577
2004,597
2005,501
2006,623
2007,675
2008,712
2009,653
2010,565
2011,516
2012,755
2013,785
2014,871
2015,608
2016,657
2017,645
2018,698
2019,725
2020,756

