year,A1,A2,A3
,label A1,label A2,label A3
1987,25,2350,153
1988,11,2329,86
1989,17,2143,94
1990,21,2329,135
1991,3,2283,99
1992,28,2361,185
1993,8,2098,98
1994,9,2185,135
1995,5,2550,54
1996,17,2202,169
1997,11,2421,112
1998,16,2189,95
1999,6,2089,85
2000,8,2305,81
2001,4,2325,63
2002,10,2169,86
2003,2,2251,23
2004,16,2340,139
2005,12,2115,85
2006,17,2420,119
2007,18,2299,111
2008,21,2360,134
2009,11,2478,85
2010,18,2198,155
2011,31,2204,185
2012,15,2232,126
2013,28,2097,196
2014,9,2257,67
2015,18,2224,108
2016,18,2141,145
2016
2017,32,1966,187
2018,27,2172,181
2019,39,1878,241
2020,37,1953,234
2021,23,2023,189
2022,32,2229,200
2023,7,1988,118
2024,25,2092,208
2025,22,1868,156
2026,29,2172,209
2027,9,2127,123
2028,19,2045,131
2029,29,2087,241
2030,15,2156,138
2031,26,1853,177
2032,23,1915,177
2033,30,2040,214
2034,25,1990,182
2035,35,1943,236
2036,22,2088,147
2037,31,2067,209
2038,19,2115,122
2039,21,2127,144
2040,31,2140,219
2041,31,2102,213
2042,26,2088,164
2043,26,2293,184
2044,41,2069,250
2045,52,1895,307
2046,33,1784,183

min,,1600
max,,2950
steps,,10
decimal



