year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,114,201,187,186
1988,250,173,147,186
1989,107,148,116,120
1990,141,156,129,176
1991,107,107,125,137
1992,104,165,135,206
1993,73,104,175,211
1994,185,183,155,154
1995,236,174,147,139
1996,104,85,100,233
1997,108,156,145,181
1998,79,186,100,190
1999,122,157,194,193
2000,136,178,222,236
2001,183,220,268,165
2002,146,120,142,231
2003,117,158,67,143
2004,160,165,158,112
2005,90,161,209,90
2006,145,132,213,158
2007,146,102,208,109
2008,182,204,136,109
2009,93,180,145,152
2010,122,125,202,211
2011,91,99,166,183
2012,83,238,106,214
2013,155,296,176,286
2014,132,103,258,185
2015,130,101,138,138
2016,180,306,96,133
