year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,1.9,13.0,18.5,8.0
1988,6.2,14.2,17.4,8.3
1989,6.7,13.9,18.8,8.2
1990,7.7,13.8,18.3,7.9
1991,4.8,12.0,19.5,6.7
1992,5.0,13.9,18.4,6.9
1993,4.6,14.8,16.7,6.1
1994,5.9,12.8,18.3,9.6
1995,6.0,12.7,18.5,8.0
1996,4.0,12.8,16.3,6.4
1997,4.8,13.1,18.8,7.9
1998,5.7,13.9,17.7,6.4
1999,5.6,14.0,19.4,7.1
2000,5.6,14.3,18.0,9.4
2001,6.4,13.1,17.4,7.4
2002,6.7,13.8,17.4,9.0
2003,4.6,15.2,19.9,7.4
2004,4.8,13.0,18.5,7.3
2005,4.2,14.4,18.1,7.6
2006,3.7,14.0,19.8,9.3
2007,7.1,15.8,16.8,6.5
2008,6.1,13.7,17.1,7.0
2009,3.5,14.5,18.9,8.2
2010,3.5,13.0,17.8,5.8
2011,5.6,15.3,17.8,9.2
2012,4.6,13.5,18.0,8.2
2013,3.1,12.4,18.7,8.4
2014,7.0,14.1,18.0,9.5
2015,4.7,14.0,18.9,9.9
2016,5.5,13.5,19.2,6.8
