year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,37,-60,-99,116
1988,160,-101,-143,119
1989,4,-169,-229,16
1990,24,-133,-217,97
1991,16,-155,-200,73
1992,18,-124,-180,139
1993,-21,-185,-128,141
1994,104,-84,-153,80
1995,134,-88,-192,63
1996,16,-211,-221,164
1997,14,-142,-174,96
1998,-28,-100,-226,121
1999,35,-121,-163,110
2000,43,-124,-76,142
2001,89,-59,-31,85
2002,33,-185,-162,145
2003,4,-166,-329,60
2004,58,-129,-174,33
2005,2,-147,-114,2
2006,58,-164,-132,70
2007,47,-214,-86,37
2008,81,-54,-172,32
2009,4,-116,-208,57
2010,20,-162,-116,131
2011,-9,-243,-143,96
2012,-19,-36,-237,128
2013,79,43,-161,202
2014,22,-207,-28,107
2015,41,-214,-236,52
2016,84,58,-230,66
