year,V1,V2,V3,V9
,label V1-EMU,label V2-EMU,label V3,label V9-EMU
1987,1071,8,-176,1
1988,772,9,-6,1
1989,967,9,-138,0
1990,1139,9,-50,1
1991,1103,8,-104,3
1992,1089,7,0,0
1993,1065,8,-68,0
1994,1026,10,-177,0
1995,1127,11,-13,0
1996,993,9,-136,0
1997,1042,10,-279,2
1998,792,8,-67,0
1999,1033,6,-315,1
2000,951,9,-154,1
2001,1035,9,-76,1
2002,990,10,-92,2
2003,945,7,-159,0
2004,1217,11,-121,0
2005,1202,8,-20,0
2006,1161,9,-114,0
2007,1203,9,-139,0
2008,782,9,34,0
2009,1055,8,-41,1
2010,1147,9,-193,4
2011,823,8,-68,9
2012,1084,9,8,2
2013,1092,9,-51,2
2014,1011,8,27,0
2015,1111,8,-147,0
2016,974,8,-96,3
2016
2017,1229,11,-42,0
2018,1116,11,-16,0
2019,1177,9,-109,0
2020,1009,10,138,4
2021,1058,8,-268,1
2022,1276,10,-94,1
2023,1241,10,-363,0
2024,1032,12,-217,3
2025,1325,12,-57,0
2026,916,10,-185,3
2027,1320,12,-393,0
2028,1075,10,-149,0
2029,1196,10,-84,0
2030,907,9,-224,5
2031,810,10,152,1
2032,1440,12,-146,0
2033,1238,10,-306,0
2034,1318,10,-134,1
2035,1046,9,-33,3
2036,1354,10,-115,0
2037,1181,10,-133,1
2038,1073,9,-135,0
2039,1159,11,-111,1
2040,1308,10,-132,0
2041,1217,12,14,1
2042,1530,11,-239,0
2043,1036,10,32,2
2044,1103,11,15,1
2045,1229,10,-133,0
2046,1096,10,15,3
