year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,triticale,buckwheat,winter-rapeseed,spring-rapeseed,spring-field-bean,spring-field-peas,potatoes,sugar-beet,maize-silage
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,24,23,21,20,21,27,8,13,14,,,148,181,259.7
2001,24,19,21,21,19,21,7,13,10,,,102,395,178.7
2002,28,24,21,19,19,25,9,15,17,,,168,215,284.9
2003,34,28,21,24,25,26,7,17,16,19,25,149,389,276.3
2004,34,27,26,25,26,28,4,19,19,14,21,115,297,155.3
2005,25,27,22,21,21,22,6,14,15,22,20,128,330,193.2
2006,23,15,19,16,12,20,2,17,12,3,13,68,246,137.1
2007,34,26,23,20,21,29,8,18,16,28,15,85,355,313.6
2008,35,24,23,21,21,29,8,16,12,8,16,114,,172.7
2009,33,28,21,23,25,27,4,15,16,19,21,121,,194.1
2010,30,24,21,20,16,24,4,16,11,11,14,106,,271.9
2011,23,26,22,24,21,18,8,9,16,14,17,138,,346.4
2012,39,28,26,28,23,31,9,27,18,35,21,157,,287.3
2013,33,38,21,28,27,25,6,17,15,21,17,132,,291.1
2014,34,37,22,31,24,25,9,20,12,19,24,144,,235.7
2015,52,36,26,35,29,41,10,34,17,27,28,159,,288
2016,46,32,23,29,20,36,9,33,14,25,24,123,,303.5
2017,43,29,32,29,25,31,15,35,26,27,27,90,,204.4
