year,annual-hydric-deficit
1987,225
1988,-40
1989,169
1990,166
1991,223
1992,-92
1993,84
1994,75
1995,258
1996,-46
1997,204
1998,450
1999,200
2000,129
2001,263
2002,-112
2003,-48
2004,270
2005,-16
2006,-39
2007,300
2008,142
2009,132
2010,315
2011,252
2012,263
2013,112
2014,26
2015,75
2016,350
