year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-6.6,9.3,13.9,3.3
1988,-1.2,10.9,16.1,1.8
1989,2.6,11.1,15.7,3.2
1990,3.0,11.3,14.7,3.9
1991,-0.6,9.9,16.4,3.9
1992,1.0,10.9,16.5,2.4
1993,-0.2,11.8,13.7,1.4
1994,-2.0,10.1,16.8,3.1
1995,0.3,11.1,15.5,1.9
1996,-5.5,10.4,14.5,2.8
1997,-0.4,9.7,16.8,2.1
1998,0.5,11.9,14.3,0.1
1999,-0.6,11.7,16.6,2.9
2000,0.3,12.6,14.0,5.8
2001,-1.1,10.9,16.6,3.6
2002,1.5,12.7,17.3,-0.1
2003,-2.9,10.2,16.7,3.7
2004,-2.5,10.2,16.1,4.1
2005,-2.3,10.4,16.6,3.7
2006,-5.0,10.7,17.7,6.9
2007,0.5,11.8,16.0,3.8
2008,1.6,11.4,15.6,4.7
2009,-1.3,11.3,16.5,2.5
2010,-4.5,10.7,17.4,0.7
2011,-2.9,11.9,16.8,5.2
2012,-2.7,10.9,16.3,2.9
2013,-3.7,11.9,16.0,5.7
2014,0.0,11.2,17.4,3.7
2015,1.6,10.2,16.6,5.3
2016,-0.5,12.3,16.3,3.3
