year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,80,195,283,240
1988,83,111,254,132
1989,89,204,258,245
1990,147,225,229,195
1991,97,335,227,170
1992,126,148,141,154
1993,123,68,315,158
1994,180,150,209,169
1995,236,237,239,118
1996,67,150,100,163
1997,103,223,181,260
1998,197,175,316,291
1999,156,117,248,251
2000,195,140,204,177
2001,145,159,341,200
2002,131,129,152,169
2003,68,141,182,217
2004,151,158,303,257
2005,137,105,237,141
2006,73,114,163,248
2007,241,139,337,206
2008,249,101,179,252
2009,116,106,268,267
2010,122,148,393,238
2011,104,165,352,240
2012,137,156,269,297
2013,103,161,248,221
2014,139,170,207,183
2015,189,147,183,224
2016,228,193,291,268
