year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,192,249,222,132
1988,309,108,168,241
1989,130,214,213,212
1990,59,98,84,79
1991,36,83,71,50
1992,154,134,265,175
1993,153,153,207,260
1994,197,324,239,216
1995,274,278,307,157
1996,76,180,299,161
1997,173,116,246,147
1998,129,133,320,308
1999,175,184,190,196
2000,220,125,281,156
2001,210,167,235,173
2002,237,152,181,305
2003,122,147,143,124
2004,147,232,232,173
2005,171,163,302,111
2006,135,177,178,147
2007,227,244,330,178
2008,163,160,212,154
2009,127,196,151,200
2010,89,170,330,226
2011,86,131,221,181
2012,112,154,181,177
2013,137,269,178,134
2014,60,108,262,123
2015,117,122,161,160
2016,166,215,243,117
