year,annual-hydric-deficit
1987,263
1988,198
1989,135
1990,-373
1991,-417
1992,46
1993,110
1994,273
1995,394
1996,140
1997,15
1998,290
1999,161
2000,171
2001,158
2002,225
2003,-196
2004,177
2005,133
2006,-25
2007,320
2008,51
2009,51
2010,248
2011,-48
2012,-62
2013,109
2014,-129
2015,-160
2016,80
