year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,152,40,-9,80
1988,259,-155,-100,193
1989,65,-46,-37,152
1990,-22,-178,-197,23
1991,-31,-165,-214,-7
1992,91,-149,-19,123
1993,83,-129,-53,209
1994,129,52,-65,157
1995,200,56,31,107
1996,23,-61,72,106
1997,104,-153,-21,85
1998,55,-127,86,276
1999,125,-50,-68,154
2000,173,-157,46,109
2001,157,-85,-33,119
2002,156,-120,-73,261
2003,57,-159,-173,80
2004,92,-7,-36,128
2005,119,-96,49,62
2006,95,-93,-118,91
2007,156,-55,79,139
2008,102,-104,-50,103
2009,79,-60,-111,143
2010,29,-54,96,177
2011,23,-149,-45,123
2012,40,-128,-99,125
2013,91,50,-103,71
2014,-22,-170,-5,68
2015,50,-151,-159,100
2016,105,-55,-42,71
