year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,9,12,-80.09,2,1,-170.15,56,39,123
1988,23,24,-108,2,11,-173,59,39,199
1989,12,43,-118,7,7,-249,72,52,99
1990,6,53,-40,4,1,-161,71,38,138
1991,4,33,-110,1,4,-189,76,44,188
1992,10,37,-127,1,0,-165,52,32,118
1993,9,47,-121,5,3,-184,62,48,168
1994,2,64,-79,4,1,-108,64,61,188
1995,1,35,-17,2,2,-9,81,53,182
1996,7,39,-44,3,4,-172,60,26,92
1997,1,38,-76,2,1,-43,82,42,183
1998,0,37,-28,3,0,27,83,50,237
1999,11,37,-168,1,1,-258,38,35,108
2000,0,49,-128,1,5,-174,74,45,136
2001,7,46,-74,1,1,-162,67,40,125
2002,10,44,-97,4,13,-201,65,53,131
2003,2,45,-80,1,1,-62,60,42,204
2004,4,45,-103,2,1,-125,54,47,154
2005,0,34,-17,2,0,-38,79,49,164
2006,5,29,-47,3,7,-97,76,45,236
2007,1,30,-120,1,6,-159,69,41,120
2008,6,21,-72,3,5,-214,68,29,119
2009,5,34,-34,3,2,-93,69,45,157
2010,12,58,-92,0,1,-116,58,43,110
2011,24,35,-52,2,9,-97,61,37,139
2012,2,30,-64,1,4,-49,76,48,124
2013,3,54,-11,4,8,-25,79,26,190
2014,11,62,-53,3,11,-81,75,30,149
2015,9,35,-73,4,9,-131,68,44,185
2016,7,38,-40,1,0,-72,61,43,144
2016
2017,13,23,-36,3,11,-87,64,35,154
2018,1,30,-34,2,0,-117,77,35,92
2019,11,35,-51,3,6,-141,68,40,174
2020,17,34,-53,3,1,-121,53,34,182
2021,22,32,-122,6,7,-311,67,36,68
2022,2,19,-35,3,12,-166,81,30,31
2023,10,49,-85,4,17,-224,60,31,65
2024,12,20,-78,2,9,-197,43,37,131
2025,14,27,-123,3,5,-165,55,24,136
2026,1,48,-167,4,4,-307,64,21,81
2027,10,14,-62,0,9,-131,70,29,142
2028,7,44,-106,4,2,-199,68,20,127
2029,11,38,-86,3,8,-166,72,43,158
2030,15,29,-143,3,16,-259,73,32,101
2031,11,26,-31,2,12,-88,54,25,107
2032,3,42,-46,0,4,-107,74,29,105
2033,9,36,-6,1,2,-136,64,32,96
2034,1,48,14,3,10,-116,75,37,141
2035,11,17,-68,2,6,-162,64,32,53
2036,18,33,-42,3,8,-137,53,31,117
2037,7,24,-58,2,3,-137,80,27,97
2038,17,21,-29,1,11,-181,52,21,92
2039,6,32,-79,2,8,-209,66,53,80
2040,12,51,-97,2,10,-162,53,40,92
2041,9,32,-43,2,2,-82,69,41,151
2042,9,47,-74,0,10,-82,65,42,113
2043,9,39,9,2,10,-86,53,32,77
2044,6,36,-58,2,7,-107,65,27,161
2045,5,40,-25,2,3,-75,61,26,123
2046,7,34,1,1,11,-119,64,29,99

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
