year,A1,A2,A3
,label A1,label A2,label A3
1987,1,3213,31
1988,19,3273,136
1989,6,3780,51
1990,4,3688,26
1991,3,3521,30
1992,2,3445,27
1993,1,3776,31
1994,0,4138,9
1995,2,3638,22
1996,6,3401,61
1997,1,3664,23
1998,0,3684,4
1999,0,3366,25
2000,4,3673,32
2001,0,3554,22
2002,12,3690,101
2003,1,3728,20
2004,0,3725,5
2005,3,3703,22
2006,9,3466,52
2007,4,3474,34
2008,6,3131,57
2009,1,3650,17
2010,3,3744,27
2011,10,3634,81
2012,5,3663,36
2013,9,3655,55
2014,15,3666,100
2015,14,3506,80
2016,1,3524,12
2016
2017,14,3109,94
2018,1,3162,21
2019,9,3463,65
2020,12,3285,90
2021,16,3384,123
2022,18,3246,109
2023,21,3295,161
2024,12,2991,132
2025,10,3187,82
2026,5,3254,46
2027,14,3107,111
2028,5,3250,45
2029,10,3480,87
2030,20,3258,140
2031,17,3173,119
2032,4,3420,52
2033,4,3428,40
2034,9,3521,50
2035,13,3257,77
2036,19,3106,111
2037,13,3200,80
2038,15,2905,116
2039,13,3469,113
2040,17,3421,117
2041,4,3418,49
2042,17,3346,127
2043,15,3341,115
2044,8,3143,70
2045,6,3468,42
2046,12,3281,91

min,,2000
max,,4000
steps,,9
decimal
