year,A1,A2,A3
,label A1,label A2,label A3
1987,5,3224,46
1988,4,3302,63
1989,7,3226,62
1990,11,3224,93
1991,9,3105,73
1992,16,3428,88
1993,7,3112,86
1994,9,3042,96
1995,7,3313,58
1996,2,3063,48
1997,13,3122,105
1998,17,3281,102
1999,2,3077,46
2000,8,3104,74
2001,1,3431,19
2002,1,3235,34
2003,7,2916,55
2004,5,3291,53
2005,8,3228,78
2006,2,3116,37
2007,3,3084,43
2008,6,3074,49
2009,4,2846,48
2010,2,3193,21
2011,10,3195,69
2012,3,3109,36
2013,14,3223,92
2014,0,3086,7
2015,4,3091,52
2016,12,3196,82
2016
2017,11,2950,83
2018,9,2859,87
2019,10,2769,70
2020,4,3015,53
2021,7,2860,83
2022,9,2890,69
2023,12,3099,100
2024,12,2820,99
2025,2,2837,43
2026,12,2657,127
2027,5,2821,78
2028,6,2815,49
2029,8,2610,71
2030,2,2515,53
2031,23,2886,130
2032,18,2904,123
2033,12,2819,76
2034,4,2913,62
2035,12,2792,77
2036,2,2932,47
2037,4,2980,48
2038,14,2956,89
2039,12,2922,107
2040,29,2797,140
2041,6,2848,53
2042,14,2883,90
2043,6,2981,70
2044,1,3150,49
2045,13,2887,103
2046,11,2800,99
