year,F1,F3,M4
,label F1,label F3,label M4
1987,93,151,2
1988,90,151,0
1989,87,157,0
1990,79,148,2
1991,59,151,1
1992,91,154,1
1993,97,151,3
1994,74,141,2
1995,88,153,3
1996,52,145,0
1997,78,143,2
1998,92,153,2
1999,69,140,1
2000,79,139,0
2001,94,153,0
2002,88,149,2
2003,65,144,0
2004,93,145,4
2005,80,155,2
2006,91,150,1
2007,79,151,1
2008,86,145,3
2009,75,137,1
2010,91,146,4
2011,78,146,3
2012,69,147,2
2013,69,141,2
2014,84,144,4
2015,93,149,1
2016,77,146,0
2016
2017,84,145,0
2018,86,141,0
2019,69,150,2
2020,81,144,1
2021,88,139,1
2022,84,145,3
2023,81,152,1
2024,61,146,1
2025,75,144,1
2026,45,140,1
2027,80,141,1
2028,96,143,0
2029,74,139,3
2030,68,135,2
2031,66,137,0
2032,81,143,0
2033,39,146,1
2034,61,141,1
2035,69,130,1
2036,79,142,1
2037,88,142,2
2038,85,144,1
2039,87,144,2
2040,66,141,0
2041,84,139,1
2042,82,143,1
2043,81,137,1
2044,68,152,2
2045,80,149,1
2046,66,149,3
