year,annual-estival-days
1987,8
1988,12
1989,19
1990,12
1991,15
1992,28
1993,12
1994,27
1995,28
1996,19
1997,28
1998,9
1999,29
2000,16
2001,21
2002,30
2003,35
2004,14
2005,27
2006,38
2007,20
2008,18
2009,29
2010,27
2011,18
2012,17
2013,25
2014,27
2015,30
2016,25
