year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,83,-44,9,36
1988,155,-159,-67,62
1989,-3,-199,-98,78
1990,28,-112,-12,98
1991,-7,-65,-201,50
1992,69,-235,-162,62
1993,35,-127,27,81
1994,84,-103,-126,68
1995,76,-81,-120,21
1996,-1,-103,-101,47
1997,2,-43,-174,71
1998,67,-46,-61,120
1999,92,-46,-148,113
2000,78,-151,10,31
2001,42,-103,-20,69
2002,99,-94,-138,86
2003,4,-153,-151,80
2004,65,-122,-22,78
2005,108,-148,-95,77
2006,37,-120,-103,59
2007,102,-78,15,76
2008,70,-118,-106,87
2009,53,-170,-135,123
2010,57,-90,25,186
2011,27,-186,109,62
2012,21,-179,-65,96
2013,92,-97,-146,85
2014,2,-78,2,129
2015,62,-152,-152,108
2016,49,-204,-192,88
