year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,113,11,80,191
1988,279,-183,76,115
1989,114,-128,-116,135
1990,110,-133,-101,154
1991,24,-7,-157,197
1992,85,-177,-34,246
1993,45,-106,138,233
1994,156,-75,-24,234
1995,205,-123,-112,19
1996,20,-190,-34,243
1997,42,-54,-64,166
1998,144,55,108,290
1999,180,-62,-5,254
2000,168,-91,-11,364
2001,115,-87,110,175
2002,138,-104,-32,233
2003,49,-130,-192,144
2004,131,-155,109,103
2005,45,-126,69,144
2006,75,-121,-13,223
2007,170,-79,40,83
2008,113,-198,11,165
2009,63,-111,-166,166
2010,65,-176,70,80
2011,31,-207,17,110
2012,-5,-64,58,243
2013,31,-78,-122,233
2014,77,-133,9,131
2015,128,-228,70,164
2016,174,-33,-109,111
