year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,169,228,314,266
1988,363,74,305,190
1989,199,148,161,209
1990,217,136,185,226
1991,100,219,135,262
1992,154,137,232,306
1993,124,165,364,287
1994,234,168,266,301
1995,289,126,199,85
1996,88,80,188,298
1997,105,176,193,219
1998,212,292,326,342
1999,239,183,259,317
2000,231,162,222,442
2001,177,176,377,251
2002,229,164,227,305
2003,143,172,116,220
2004,222,122,404,177
2005,131,168,331,221
2006,149,174,314,319
2007,271,225,303,156
2008,205,112,271,230
2009,133,195,156,241
2010,130,103,355,149
2011,116,117,265,195
2012,80,201,342,313
2013,110,185,177,311
2014,181,144,290,207
2015,210,63,362,241
2016,257,246,186,175
