year,annual-average-temperature
1987,8.7
1988,10.3
1989,10.6
1990,10.8
1991,9.6
1992,10.7
1993,9.8
1994,10.8
1995,10.7
1996,8.8
1997,10.4
1998,10.8
1999,11.3
2000,11.2
2001,10.8
2002,11.1
2003,10.9
2004,10.9
2005,11.2
2006,11.6
2007,11.7
2008,10.9
2009,10.9
2010,9.3
2011,11.3
2012,10.6
2013,10.1
2014,12.0
2015,11.1
2016,11.1
