year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,2176,11,-647,0
1988,2424,10,-595,1
1989,2361,14,-652,3
1990,2148,12,-522,2
1991,2217,12,-588,3
1992,2034,8,-439,1
1993,2104,10,-652,5
1994,2241,12,-579,3
1995,1853,10,-561,12
1996,1957,10,-471,0
1997,2263,12,-705,2
1998,2045,12,-596,0
1999,2129,12,-660,0
2000,2122,12,-669,1
2001,1952,9,-556,0
2002,2003,10,-592,9
2003,2041,10,-434,0
2004,2158,10,-568,1
2005,2242,12,-612,5
2006,2077,12,-553,4
2007,2033,9,-519,0
2008,2047,11,-602,0
2009,1990,9,-550,0
2010,2016,10,-582,1
2011,1825,11,-421,1
2012,2148,12,-703,3
2013,1945,8,-489,0
2014,2294,11,-524,3
2015,1951,9,-498,0
2016,2051,12,-530,5
2016
2017,2442,11,-617,4
2018,2287,8,-564,10
2019,2476,14,-625,1
2020,2147,11,-603,2
2021,2162,12,-656,0
2022,2262,9,-567,1
2023,2546,13,-660,0
2024,2434,11,-736,0
2025,2195,11,-569,0
2026,2044,11,-656,0
2027,2230,12,-677,8
2028,2267,10,-598,0
2029,2291,12,-642,5
2030,2310,11,-692,0
2031,2441,14,-578,3
2032,2198,11,-594,2
2033,2259,14,-669,1
2034,2294,12,-594,0
2035,2299,11,-616,2
2036,2166,14,-497,2
2037,2054,9,-583,2
2038,2346,14,-603,0
2039,2175,13,-569,3
2040,2167,9,-542,2
2041,2020,12,-553,2
2042,2224,11,-688,1
2043,2216,13,-580,0
2044,2022,12,-493,7
2045,2526,12,-698,0
2046,2007,10,-559,0
