year,annual-hydric-deficit
1987,-414
1988,-400
1989,-204
1990,-435
1991,-434
1992,45
1993,-573
1994,-532
1995,-255
1996,-216
1997,-333
1998,-259
1999,-34
2000,-752
2001,-202
2002,-556
2003,-589
2004,-170
2005,-233
2006,-371
2007,-531
2008,-441
2009,-506
2010,-47
2011,-662
2012,-653
2013,-396
2014,-216
2015,-478
2016,-293
