year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,63,-154,-321,-2
1988,88,-215,-261,-12
1989,-42,-17,-150,5
1990,-57,-197,-227,46
1991,-48,-218,-252,85
1992,-74,-240,-7,366
1993,-10,-324,-293,55
1994,-21,-186,-309,-15
1995,14,-49,-293,73
1996,29,-179,-81,15
1997,-70,-152,-146,34
1998,-65,-120,-120,46
1999,43,-91,-174,188
2000,-32,-324,-339,-57
2001,14,-74,-135,-7
2002,-80,-273,-209,6
2003,41,-343,-331,45
2004,15,-115,-144,74
2005,15,-212,-47,11
2006,34,-139,-221,-45
2007,-16,-283,-276,45
2008,-43,-130,-290,23
2009,-15,-236,-356,101
2010,35,-64,-130,112
2011,-32,-302,-296,-33
2012,-73,-213,-381,13
2013,73,-131,-305,-33
2014,-67,-174,-49,73
2015,-18,-267,-252,59
2016,39,-216,-189,73
