year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,141,191,67,97
1988,184,134,121,75
1989,59,317,194,101
1990,74,165,158,140
1991,37,112,111,166
1992,38,157,420,454
1993,77,78,120,146
1994,86,172,115,74
1995,113,278,89,153
1996,89,169,229,104
1997,28,196,199,128
1998,61,211,246,119
1999,141,236,186,268
2000,73,96,65,69
2001,123,276,216,77
2002,45,107,167,102
2003,115,72,74,129
2004,109,220,229,156
2005,98,144,283,89
2006,113,192,149,57
2007,106,136,154,128
2008,79,224,109,122
2009,77,172,65,185
2010,125,245,218,191
2011,51,82,117,58
2012,40,169,80,103
2013,153,215,116,70
2014,54,176,296,158
2015,90,112,166,129
2016,131,131,180,144
