year,A1,A2,A3
,label A1,label A2,label A3
1987,49,2751,373
1988,69,3107,491
1989,72,2799,536
1990,39,2633,336
1991,56,2722,464
1992,64,2928,393
1993,54,3049,437
1994,46,2798,391
1995,51,3089,357
1996,38,2822,286
1997,52,2805,428
1998,37,2699,268
1999,51,2590,419
2000,43,2567,339
2001,61,3081,360
2002,62,3128,411
2003,33,2624,273
2004,48,2353,316
2005,54,2712,432
2006,42,2725,331
2007,62,2969,381
2008,35,2605,288
2009,43,2895,289
2010,43,2669,328
2011,40,2805,255
2012,52,2771,392
2013,38,2687,283
2014,72,2889,503
2015,41,2896,306
2016,46,2717,330
2016
2017,72,2525,593
2018,93,2805,672
2019,86,2588,636
2020,66,2235,416
2021,46,2413,347
2022,75,2487,462
2023,72,2315,596
2024,73,2416,606
2025,55,2407,395
2026,34,2406,303
2027,58,2545,516
2028,70,2494,507
2029,73,2699,583
2030,74,2493,532
2031,70,2406,566
2032,49,2559,347
2033,77,2714,496
2034,66,2397,476
2035,69,2812,564
2036,56,2516,397
2037,60,2832,429
2038,83,2487,531
2039,54,2334,398
2040,60,2413,476
2041,55,2675,396
2042,54,2423,437
2043,60,2552,424
2044,61,2507,463
2045,90,2018,565
2046,34,2551,283
