year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,90,30,-80,115
1988,270,-135,-73,163
1989,27,-94,-186,152
1990,30,-110,-99,119
1991,0,-142,-69,68
1992,65,-177,-182,146
1993,-43,-178,-83,139
1994,33,-160,-198,46
1995,114,-82,7,105
1996,-6,-48,1,177
1997,74,-62,-140,110
1998,5,-87,-119,152
1999,110,-132,-136,103
2000,78,-138,9,69
2001,148,-160,-154,106
2002,58,-98,-30,154
2003,13,-234,-301,51
2004,34,-173,-80,151
2005,144,-55,-120,114
2006,100,-79,-185,122
2007,70,-104,-67,72
2008,161,-95,-84,108
2009,110,-75,-55,180
2010,95,-96,-40,212
2011,55,-206,-103,106
2012,46,-110,-145,239
2013,64,-16,-122,152
2014,16,-199,53,130
2015,109,-164,-221,112
2016,208,44,-187,128
