year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,106,-189,-301,1
1988,-37,-275,-338,-13
1989,-77,-224,-304,-39
1990,-89,-306,-389,89
1991,105,-154,-237,42
1992,-107,-205,-385,0
1993,-75,-306,-383,-26
1994,16,-30,-327,-13
1995,-22,-220,-202,74
1996,65,-269,-259,73
1997,-34,-222,-227,53
1998,-1,-226,-193,56
1999,-25,-170,-219,101
2000,-87,-305,-257,-33
2001,6,-143,-182,-38
2002,-113,-197,-21,113
2003,-14,-207,-281,149
2004,67,-166,-295,29
2005,81,-183,6,71
2006,118,-138,-228,-21
2007,-47,-292,-299,186
2008,-41,-230,-218,88
2009,48,-204,-243,191
2010,102,-175,-339,120
2011,51,-292,-363,-41
2012,8,-194,-410,16
2013,85,-204,-302,11
2014,40,-6,-46,129
2015,72,-239,-303,77
2016,94,-164,-202,84
