year,annual-average-temperature
1987,11.8
1988,12.1
1989,12.2
1990,12.6
1991,11.3
1992,12.5
1993,12.1
1994,12.9
1995,11.5
1996,10.9
1997,11.2
1998,11.8
1999,12.4
2000,12.4
2001,12.3
2002,12.7
2003,11.8
2004,11.8
2005,11.0
2006,11.8
2007,13.1
2008,12.4
2009,12.3
2010,11.9
2011,11.9
2012,12.7
2013,12.5
2014,12.3
2015,13.2
2016,12.8
