year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.7,16.2,22.7,7.4
1988,4.2,16.2,22.7,5.3
1989,5.3,16.5,20.6,6.1
1990,5.1,16.8,21.2,7.1
1991,2.6,15.5,20.8,6.2
1992,4.1,16.6,22.2,7.0
1993,2.3,17.4,22.0,6.6
1994,4.5,17.1,23.0,6.5
1995,3.7,16.7,21.0,4.5
1996,-1.7,17.8,20.4,6.8
1997,3.2,15.7,20.0,5.6
1998,4.1,17.6,21.3,4.2
1999,3.6,17.3,22.1,6.4
2000,3.2,17.9,21.5,6.9
2001,4.6,16.4,22.1,5.7
2002,5.9,17.7,21.6,5.4
2003,0.7,18.1,22.1,6.1
2004,2.8,15.9,21.0,7.5
2005,1.2,16.0,20.4,6.1
2006,0.9,16.7,20.9,8.3
2007,6.9,18.5,21.9,5.0
2008,3.7,17.6,21.0,7.2
2009,2.7,17.3,21.8,7.2
2010,1.6,17.2,22.3,6.2
2011,1.4,16.9,22.9,6.0
2012,1.4,18.3,24.1,6.8
2013,2.9,17.9,21.9,7.0
2014,4.3,16.5,21.3,7.0
2015,3.2,17.5,22.9,8.7
2016,4.6,18.1,22.2,6.1
