year,A1,A2,A3
,label A1,label A2,label A3
1987,71,2984,476
1988,68,3015,485
1989,76,2573,477
1990,79,2614,536
1991,51,2609,393
1992,71,2606,499
1993,71,2873,500
1994,65,2607,439
1995,59,2565,363
1996,65,2574,520
1997,37,2554,324
1998,77,2858,500
1999,58,2602,418
2000,45,2825,382
2001,62,2690,413
2002,43,3116,308
2003,65,2464,418
2004,59,2740,450
2005,49,2655,401
2006,63,2512,471
2007,69,2705,419
2008,85,2583,578
2009,65,2593,420
2010,56,2278,403
2011,32,2934,262
2012,49,2839,336
2013,80,2667,542
2014,47,2601,360
2015,77,2580,497
2016,82,2841,482
2016
2017,77,2610,549
2018,70,2841,478
2019,85,2545,548
2020,109,2533,751
2021,69,2394,482
2022,59,2300,413
2023,71,2435,558
2024,78,2298,580
2025,73,2589,417
2026,80,2593,560
2027,42,2385,393
2028,95,2514,708
2029,51,2581,395
2030,58,2536,469
2031,77,2497,568
2032,61,2678,447
2033,59,2437,374
2034,83,2014,671
2035,81,2441,535
2036,82,2663,547
2037,51,2518,357
2038,97,2346,630
2039,85,2366,642
2040,84,2768,579
2041,103,2204,723
2042,78,2492,509
2043,79,2438,451
2044,67,2629,478
2045,103,2594,720
2046,104,2459,726

min,30,1800,240
max,130,3300,1040
steps,11,11,11
decimals
