year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,187,151,106,90
1988,66,76,75,79
1989,45,120,58,53
1990,34,51,10,169
1991,190,181,117,131
1992,20,152,24,95
1993,30,73,37,61
1994,133,329,74,76
1995,76,122,161,146
1996,122,84,107,151
1997,77,122,128,133
1998,116,122,187,129
1999,75,163,149,185
2000,26,76,125,31
2001,102,186,202,53
2002,15,154,317,183
2003,69,158,103,225
2004,180,159,91,109
2005,171,158,325,150
2006,199,201,139,73
2007,76,99,109,261
2008,79,115,178,168
2009,142,155,136,264
2010,190,152,60,190
2011,137,81,60,48
2012,127,182,50,102
2013,164,167,111,90
2014,142,312,308,207
2015,159,135,100,162
2016,189,181,185,169
