year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,2387,11,-560,4
1988,2546,11,-648,0
1989,2448,11,-679,3
1990,2425,11,-618,0
1991,2189,10,-756,0
1992,2420,12,-618,1
1993,2363,12,-674,1
1994,2478,13,-710,0
1995,2131,11,-537,0
1996,2246,11,-642,3
1997,2057,11,-531,0
1998,2228,9,-599,0
1999,2424,11,-675,0
2000,2208,11,-672,0
2001,2319,11,-606,0
2002,1975,9,-391,0
2003,2181,12,-523,0
2004,2316,11,-573,0
2005,2054,7,-619,5
2006,2414,11,-613,0
2007,2222,13,-574,4
2008,2349,10,-549,0
2009,2130,12,-624,0
2010,2246,10,-490,0
2011,2066,11,-571,0
2012,1961,9,-579,2
2013,2435,12,-593,0
2014,2129,12,-609,0
2015,2245,12,-509,0
2016,2168,10,-551,0
2016
2017,2433,14,-652,0
2018,2290,13,-559,0
2019,2362,13,-649,1
2020,2722,17,-649,0
2021,2269,13,-610,0
2022,2203,15,-426,1
2023,2377,14,-605,0
2024,2452,14,-704,0
2025,2252,12,-501,0
2026,2381,14,-538,2
2027,2410,12,-708,0
2028,2712,15,-604,1
2029,2215,12,-656,3
2030,2334,12,-692,0
2031,2383,12,-475,1
2032,2084,9,-638,3
2033,2168,11,-674,0
2034,2658,13,-672,0
2035,2441,14,-743,1
2036,2392,14,-594,1
2037,2194,12,-588,0
2038,2477,13,-614,0
2039,2462,11,-610,1
2040,2359,13,-528,1
2041,2738,13,-623,0
2042,2401,11,-670,0
2043,2266,11,-486,2
2044,2403,13,-552,0
2045,2701,14,-732,0
2046,2484,16,-567,5

min,1800,10
max,3000,20
steps,9,11
decimals
