year,A1,A2,A3
,label A1,label A2,label A3
1987,4,2929,53
1988,12,2838,87
1989,8,2792,57
1990,3,2464,41
1991,2,2715,36
1992,1,2813,30
1993,4,2801,50
1994,3,2775,49
1995,4,2736,31
1996,12,2737,115
1997,2,2675,25
1998,7,2617,63
1999,4,2675,48
2000,12,2938,89
2001,10,2782,83
2002,1,3000,17
2003,3,2823,32
2004,13,2725,84
2005,12,2872,81
2006,17,2682,109
2007,10,2679,73
2008,2,2852,39
2009,5,2755,58
2010,15,2986,101
2011,7,2950,47
2012,7,2811,51
2013,8,2871,63
2014,6,2627,47
2015,4,3108,29
2016,2,2622,21
2016
2017,26,2533,163
2018,8,2358,74
2019,13,2214,100
2020,2,2545,45
2021,14,2555,95
2022,17,2335,123
2023,22,2483,179
2024,2,2601,46
2025,12,2417,93
2026,3,2287,62
2027,3,2367,69
2028,12,2199,97
2029,2,2414,62
2030,16,2573,118
2031,12,2603,98
2032,3,2642,45
2033,20,2470,133
2034,4,2734,54
2035,18,2408,119
2036,21,2442,142
2037,16,2540,111
2038,19,2564,145
2039,11,2498,110
2040,15,2404,107
2041,13,2550,89
2042,6,2479,58
2043,14,2443,99
2044,23,2422,125
2045,17,2564,115
2046,8,2437,57

min,,1800
max,,3400
steps,,9
decimal



