year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,172,216,204,201
1988,281,117,245,201
1989,156,208,92,160
1990,174,129,76,199
1991,119,139,121,127
1992,139,235,246,208
1993,84,157,202,285
1994,188,160,226,121
1995,276,133,145,73
1996,84,125,162,195
1997,83,178,112,199
1998,103,189,168,217
1999,134,143,181,235
2000,128,175,230,253
2001,272,180,236,175
2002,173,133,175,295
2003,111,190,98,118
2004,153,111,208,126
2005,126,141,205,116
2006,163,159,292,180
2007,234,216,204,169
2008,149,144,211,130
2009,136,135,105,201
2010,125,66,260,125
2011,74,82,181,167
2012,56,178,134,213
2013,64,201,226,188
2014,114,228,269,159
2015,87,156,124,136
2016,158,210,117,101
