year,F1,F3,M4
,label F1,label F3,label M4
1987,65,136,1
1988,74,143,1
1989,51,143,3
1990,50,117,3
1991,43,132,0
1992,71,128,2
1993,53,136,1
1994,74,140,2
1995,56,139,1
1996,34,143,2
1997,62,137,1
1998,55,128,2
1999,48,130,2
2000,52,142,1
2001,65,133,0
2002,64,143,2
2003,60,131,1
2004,73,130,4
2005,73,152,2
2006,59,129,1
2007,50,137,2
2008,63,139,2
2009,71,135,0
2010,74,149,2
2011,28,146,2
2012,56,136,4
2013,53,142,2
2014,62,135,1
2015,76,149,0
2016,54,130,2
2016
2017,61,134,4
2018,36,134,2
2019,31,130,1
2020,36,135,2
2021,43,133,3
2022,40,128,3
2023,57,129,2
2024,72,134,3
2025,40,126,4
2026,33,128,1
2027,33,133,3
2028,25,123,4
2029,57,127,4
2030,47,134,3
2031,57,138,2
2032,48,135,1
2033,51,139,6
2034,76,145,2
2035,48,124,3
2036,44,129,2
2037,50,137,3
2038,33,134,4
2039,42,133,4
2040,41,128,4
2041,41,134,1
2042,59,133,3
2043,49,128,3
2044,42,126,3
2045,51,133,2
2046,53,133,2

min,,80,0
max,,170,8
steps,,10,9
decimal
