year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,2,0,-81,5,0,-122,67,20,140
1988,7,3,48,6,1,-48,75,15,106
1989,8,0,-32,4,0,-181,66,23,117
1990,3,6,-39,2,0,-145,73,28,121
1991,3,1,-48,5,0,-217,71,34,126
1992,2,4,-30,2,0,-12,70,21,200
1993,12,1,-45,6,4,-211,79,26,112
1994,9,0,-85,2,0,-268,66,28,92
1995,0,1,24,2,2,-82,75,18,42
1996,4,2,-112,4,0,-259,78,21,111
1997,5,5,-120,3,1,-303,60,32,104
1998,12,2,-67,3,0,-228,51,19,108
1999,3,5,-80,2,0,-174,77,39,158
2000,6,0,-138,5,3,-269,68,38,163
2001,9,0,55,2,4,-75,80,12,65
2002,7,11,-39,4,1,-192,84,22,72
2003,9,3,-26,4,2,-183,72,26,68
2004,6,1,-21,4,0,-203,73,32,54
2005,4,0,-16,3,0,-8,60,24,195
2006,9,2,-42,5,0,-170,81,29,108
2007,6,2,-32,5,0,-139,77,18,139
2008,7,2,-77,7,0,-225,66,26,75
2009,15,0,3,3,2,-133,71,22,97
2010,14,1,-33,3,4,-188,68,12,61
2011,6,1,-8,5,0,-110,68,20,94
2012,10,2,-136,2,0,-182,69,22,153
2013,7,3,-52,2,9,-185,78,35,99
2014,5,3,10,2,1,13,74,29,184
2015,2,9,-84,7,0,-224,66,21,89
2016,3,5,-39,3,1,-197,72,23,83
2016
2017,7,0,36,5,0,-97,73,10,134
2018,10,1,-17,3,1,-83,59,16,64
2019,32,0,-124,4,2,-286,45,12,104
2020,19,1,-98,6,0,-280,44,19,57
2021,19,4,-151,4,4,-287,56,17,95
2022,4,2,-56,5,9,-289,76,20,81
2023,16,0,-104,2,4,-282,52,18,157
2024,17,0,-200,6,3,-466,59,21,51
2025,1,0,-40,2,0,-158,80,10,57
2026,2,1,-111,4,0,-314,68,22,124
2027,22,0,-155,4,2,-297,48,4,173
2028,7,7,-61,2,0,-191,60,11,65
2029,2,13,-134,4,0,-370,62,22,68
2030,19,1,-94,5,4,-278,53,7,120
2031,10,6,-30,2,0,-93,56,16,63
2032,15,2,-87,4,1,-248,65,14,117
2033,6,2,-56,4,0,-232,67,18,59
2034,2,3,-64,2,2,-207,60,15,109
2035,13,6,-112,3,0,-204,50,13,79
2036,14,2,-45,4,1,-168,57,16,85
2037,12,4,-66,4,1,-205,55,12,105
2038,12,0,-91,3,1,-246,60,11,146
2039,12,0,-108,4,0,-217,56,11,102
2040,9,5,-97,4,1,-185,57,9,75
2041,16,0,-72,5,0,-221,58,5,105
2042,9,2,-7,3,1,-137,68,14,110
2043,17,0,-114,4,1,-243,61,14,99
2044,19,0,-56,2,3,-216,50,17,71
2045,16,4,-56,3,0,-131,56,12,147
2046,5,0,-30,4,1,-212,68,9,118
