year,A1,A2,A3
,label A1,label A2,label A3
1987,10,2767,63
1988,8,2797,64
1989,2,2857,35
1990,8,3083,72
1991,2,3047,28
1992,2,2956,20
1993,15,3177,136
1994,6,2915,73
1995,11,2814,70
1996,1,2823,17
1997,6,3152,43
1998,8,2769,81
1999,2,3264,24
2000,13,3131,83
2001,17,2759,104
2002,20,2823,110
2003,12,2898,84
2004,3,3020,40
2005,6,2998,41
2006,5,2911,44
2007,12,2546,75
2008,8,2858,57
2009,19,2860,118
2010,12,2496,82
2011,2,2552,42
2012,4,2943,34
2013,24,2997,158
2014,3,2785,24
2015,11,2801,77
2016,6,2880,73
2016
2017,14,2510,120
2018,16,2439,101
2019,25,2486,145
2020,14,2357,110
2021,28,2836,209
2022,34,2446,205
2023,13,2592,115
2024,30,2637,216
2025,11,2481,96
2026,1,2589,40
2027,12,2353,98
2028,5,2675,37
2029,4,2864,72
2030,15,2462,153
2031,10,2641,59
2032,10,2500,91
2033,6,2637,54
2034,9,2542,60
2035,3,2628,78
2036,14,2501,103
2037,16,2492,107
2038,19,2527,130
2039,9,2348,84
2040,5,2529,58
2041,10,2251,80
2042,14,2635,97
2043,19,2665,137
2044,17,2516,132
2045,15,2442,81
2046,20,2460,105
