year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,172,216,204,201
1988,281,117,245,201
1989,156,208,92,160
1990,174,129,76,199
1991,119,139,121,127
1992,57,213,134,173
1993,84,135,202,285
1994,188,158,219,121
1995,276,133,145,73
1996,84,125,162,195
1997,83,178,111,199
1998,98,189,168,217
1999,134,141,180,235
2000,128,175,225,253
2001,272,182,240,175
2002,173,133,175,296
2003,111,203,96,118
2004,153,111,208,125
2005,124,135,205,116
2006,163,159,292,184
2007,234,210,204,167
2008,149,144,211,130
2009,136,135,105,201
2010,159,99,249,153
2011,115,111,194,188
2012,102,253,150,183
2013,55,184,143,225
2014,127,146,163,173
2015,120,99,176,129
2016,226,245,115,87
