year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,1.1,12.1,17.0,7.2
1988,5.6,12.9,16.0,7.6
1989,5.6,12.5,17.3,7.1
1990,6.9,12.4,16.8,7.3
1991,3.9,10.8,17.8,6.1
1992,4.7,13.1,17.5,6.6
1993,4.5,13.9,15.4,5.8
1994,5.5,12.5,17.7,8.9
1995,5.8,12.3,18.1,7.5
1996,2.9,12.2,15.7,6.0
1997,4.8,12.5,17.9,7.5
1998,5.7,13.4,16.7,6.3
1999,5.6,13.5,18.6,7.0
2000,5.7,13.6,16.9,8.5
2001,5.5,12.7,17.1,7.7
2002,6.3,13.1,16.9,8.3
2003,4.6,14.0,18.6,6.9
2004,4.8,12.7,17.8,7.1
2005,4.7,13.7,17.5,7.9
2006,3.1,13.2,19.1,9.4
2007,7.0,15.0,16.2,6.8
2008,6.1,13.6,16.6,6.7
2009,3.5,14.0,18.1,8.0
2010,3.2,12.8,17.4,5.4
2011,5.7,14.9,17.0,9.0
2012,4.7,12.6,16.7,7.7
2013,2.7,12.0,18.0,8.3
2014,6.8,13.7,17.5,9.0
2015,4.7,13.2,17.7,9.8
2016,5.4,13.0,18.5,6.9
