year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,107,-17,-39,133
1988,203,-134,-3,140
1989,71,-71,-211,67
1990,69,-142,-245,130
1991,50,-90,-179,67
1992,-24,-59,-152,107
1993,-5,-153,-74,219
1994,108,-112,-76,50
1995,184,-118,-184,-1
1996,4,-151,-127,129
1997,0,-93,-182,129
1998,8,-70,-112,152
1999,48,-130,-127,156
2000,42,-99,-42,171
2001,191,-95,-49,101
2002,77,-143,-102,220
2003,7,-98,-257,45
2004,59,-167,-96,59
2005,47,-152,-81,32
2006,87,-108,-30,102
2007,142,-82,-68,97
2008,55,-131,-72,66
2009,56,-141,-224,125
2010,76,-186,-44,86
2011,26,-219,-90,107
2012,6,19,-138,121
2013,-11,-58,-157,153
2014,31,-125,-97,107
2015,38,-193,-131,60
2016,141,10,-179,25
