year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1563,11,-303,6
1988,1605,11,-307,2
1989,1301,8,-279,5
1990,1769,11,-272,0
1991,1513,11,-376,7
1992,1497,11,-352,1
1993,1768,12,-446,0
1994,1708,11,-528,3
1995,1663,12,-286,2
1996,1410,10,-348,3
1997,1456,11,-353,0
1998,1609,12,-403,3
1999,1597,12,-429,3
2000,1389,8,-271,2
2001,1558,11,-403,3
2002,1407,11,-135,1
2003,1501,9,-430,10
2004,1667,10,-368,0
2005,1595,11,-363,1
2006,1766,12,-246,1
2007,1266,8,-336,7
2008,1614,10,-399,1
2009,1666,12,-377,5
2010,1212,10,-223,8
2011,1577,11,-383,0
2012,1651,9,-391,3
2013,1651,12,-345,3
2014,1421,9,-250,2
2015,1615,10,-366,0
2016,1508,10,-251,8
2016
2017,1863,13,-419,4
2018,1510,10,-340,9
2019,1848,12,-341,0
2020,1732,10,-467,3
2021,1894,14,-572,6
2022,1529,12,-305,10
2023,1818,11,-450,1
2024,1859,12,-523,3
2025,1980,13,-327,4
2026,1694,11,-533,5
2027,1751,14,-461,4
2028,1831,13,-430,4
2029,1677,10,-494,2
2030,1661,11,-297,2
2031,1798,13,-388,2
2032,2133,12,-306,0
2033,1835,12,-444,0
2034,1931,11,-499,0
2035,1787,12,-521,2
2036,1714,11,-371,5
2037,1833,11,-284,0
2038,1827,12,-461,1
2039,1881,11,-425,4
2040,1776,11,-479,6
2041,1782,13,-312,8
2042,1846,15,-453,5
2043,1665,12,-344,3
2044,1708,12,-402,0
2045,1970,12,-511,0
2046,1550,10,-211,5

min.,1000,10
max.,3000,20
steps.,11,11
decimals
