year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,60,142,1
1988,40,135,1
1989,42,136,3
1990,42,119,1
1991,33,127,1
1992,44,133,1
1993,28,133,3
1994,47,129,2
1995,58,139,1
1996,49,128,2
1997,37,127,0
1998,29,134,2
1999,41,126,2
2000,47,122,2
2001,38,122,2
2002,60,148,0
2003,55,134,1
2004,41,121,3
2005,45,131,2
2006,59,134,0
2007,59,139,2
2008,31,124,1
2009,50,135,0
2010,54,135,3
2011,59,134,2
2012,57,129,0
2013,29,131,1
2014,44,126,1
2015,42,127,2
2016,32,140,1
2016
2017,54,126,3
2018,37,133,2
2019,40,128,3
2020,35,129,0
2021,44,121,1
2022,44,140,1
2023,31,128,1
2024,41,132,1
2025,35,129,3
2026,31,128,2
2027,33,127,3
2028,56,125,3
2029,38,125,2
2030,38,125,1
2031,38,126,1
2032,45,118,3
2033,37,122,2
2034,34,116,3
2035,45,121,1
2036,43,133,2
2037,36,127,2
2038,44,121,2
2039,36,131,3
2040,43,118,2
2041,38,120,3
2042,49,137,3
2043,53,124,1
2044,53,123,2
2045,38,117,3
2046,35,116,1
