year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,4.8,13.6,19.9,8.7
1988,6.0,13.0,18.2,8.6
1989,5.9,13.5,19.1,10.7
1990,7.9,15.0,21.7,8.3
1991,5.9,13.0,21.8,8.2
1992,5.1,13.3,19.2,8.8
1993,5.6,13.9,18.0,8.1
1994,7.5,14.8,21.2,9.7
1995,7.3,14.1,19.4,10.6
1996,6.7,14.1,18.1,9.1
1997,8.3,14.5,19.4,10.3
1998,7.7,13.6,19.3,7.8
1999,6.3,14.2,19.9,8.0
2000,6.6,14.6,19.3,9.5
2001,8.3,14.2,19.1,8.1
2002,7.9,14.0,18.2,10.4
2003,6.8,15.9,21.1,9.2
2004,5.8,14.2,19.7,9.2
2005,4.7,15.4,19.1,8.2
2006,6.3,15.6,20.2,10.6
2007,7.3,15.1,18.8,8.5
2008,7.4,14.0,18.6,7.8
2009,6.2,15.1,20.4,9.9
2010,5.5,13.9,19.6,8.1
2011,6.9,15.9,20.1,10.5
2012,6.3,14.9,20.3,9.7
2013,6.5,12.5,20.6,9.4
2014,7.5,15.1,19.8,10.9
2015,6.0,15.6,20.0,10.0
2016,6.7,14.0,20.4,9.2
