year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,234,144,76,292
1988,277,312,95,53
1989,30,38,85,140
1990,70,255,58,259
1991,172,301,132,200
1992,111,314,169,357
1993,79,268,177,279
1994,44,98,146,140
1995,250,98,102,143
1996,187,136,159,346
1997,127,212,201,288
1998,137,192,141,221
1999,211,115,169,215
2000,93,167,108,272
2001,240,76,128,156
2002,107,181,98,287
2003,274,136,84,249
2004,259,133,161,220
2005,121,191,55,311
2006,162,154,108,130
2007,271,252,94,114
2008,209,343,36,300
2009,260,116,99,216
2010,147,136,41,223
2011,130,113,57,140
2012,100,140,52,202
2013,528,220,66,228
2014,341,171,110,233
2015,417,101,97,129
2016,371,133,70,157
