year,annual-hydric-deficit
1987,946
1988,892
1989,1056
1990,1167
1991,1003
1992,922
1993,901
1994,1066
1995,1119
1996,972
1997,948
1998,950
1999,944
2000,985
2001,1005
2002,958
2003,1030
2004,965
2005,1034
2006,1020
2007,991
2008,895
2009,1041
2010,966
2011,1043
2012,1039
2013,968
2014,980
2015,978
2016,904
