year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-FGN,label C2,label C3-FGN,label C12,label M1-FGN,label M2,label M8,label Co2,label Co3
1987,2,1,-206,0,1563.037,11,53,42872,26
1988,4,2,-68,0,1605.253,11,55,42835,29
1989,0,3,-47,0,1300.941,8,76,42848,13
1990,1,0,-32,0,1769.424,11,42,42824,19
1991,0,2,-123,0,1512.532,11,53,42871,9
1992,0,1,-54,0,1497.34,11,68,42828,25
1993,0,2,-111,0,1767.794,12,58,42825,37
1994,1,2,-230,0,1708.092,11,63,42856,31
1995,0,4,-55,0,1663.289,12,59,42862,32
1996,0,1,-130,0,1410.178,10,65,42856,2
1997,1,0,-138,0,1455.999,11,55,42814,10
1998,3,3,-115,0,1608.881,12,52,42866,28
1999,0,0,-170,0,1596.773,12,58,42839,18
2000,0,1,-40,0,1388.876,8,60,42832,9
2001,3,0,-173,0,1558.409,11,47,42844,18
2002,0,6,71,0,1406.735,11,76,42826,23
2003,1,3,-247,0,1500.561,9,53,42844,24
2004,0,1,-100,0,1666.765,10,51,42825,14
2005,0,4,-72,0,1595.464,11,62,42830,12
2006,1,2,-102,0,1766.38,12,61,42828,32
2007,0,5,-134,0,1265.545,8,63,42852,14
2008,0,0,-159,0,1613.603,10,60,42839,12
2009,3,0,-149,0,1665.87,12,45,42843,29
2010,0,2,34,0,1211.509,10,74,42841,2
2011,0,1,-102,0,1576.99,11,67,42820,22
2012,0,0,-132,0,1650.551,9,55,42838,23
2013,0,3,-103,0,1650.551,12,60,42839,30
2014,0,0,-54,0,1420.545,9,71,42828,24
2015,0,2,-155,0,1614.556,10,48,42824,20
2016,0,0,17,0,1508.202,10,64,42864,25
2016
2017,0,0,-106,0,1863.04,13,59,42831,46
2018,0,0,-15,0,1509.805,10,59,42855,28
2019,5,2,-210,0,1848.018,12,37,42817,39
2020,3,0,-181,0,1731.914,10,49,42840,33
2021,1,0,-207,1,1894.109,14,45,42850,41
2022,0,3,-152,0,1528.772,12,68,42843,35
2023,4,0,-173,0,1818.249,11,42,42846,33
2024,4,0,-147,0,1858.642,12,52,42843,34
2025,3,1,-87,1,1980.168,13,41,42853,64
2026,1,1,-197,0,1694.203,11,51,42831,35
2027,3,0,-191,0,1750.979,14,46,42841,30
2028,2,0,-275,0,1830.629,13,49,42843,46
2029,4,1,-220,0,1676.984,10,50,42831,19
2030,0,0,-73,0,1661.1,11,50,42838,24
2031,3,2,-198,0,1797.688,13,45,42836,37
2032,10,1,-146,0,2132.878,12,49,42808,69
2033,3,0,-169,0,1835.377,12,49,42810,39
2034,0,0,-236,0,1930.865,11,37,42811,36
2035,0,0,-206,0,1787.059,12,46,42841,36
2036,1,1,-137,0,1713.835,11,55,42850,36
2037,1,0,-61,1,1833.03,11,48,42816,40
2038,2,0,-158,0,1826.987,12,50,42858,29
2039,1,2,-112,0,1881.461,11,50,42893,53
2040,2,0,-144,1,1776.177,11,43,42848,29
2041,1,0,-77,0,1782.213,13,55,42865,39
2042,2,3,-192,0,1846.126,15,55,42837,54
2043,0,1,-155,0,1664.776,12,60,42840,25
2044,4,0,-83,0,1707.594,12,54,42804,32
2045,0,0,-198,0,1969.939,12,48,42813,47
2046,0,0,-57,0,1549.941,10,56,42862,27

min.,,,,0,,,0
max.,,,,11,,,72
steps.,,,,12,,,10
decimals
