year,annual-frozen-days
1987,54
1988,47
1989,40
1990,38
1991,42
1992,45
1993,54
1994,28
1995,32
1996,31
1997,23
1998,40
1999,40
2000,34
2001,27
2002,11
2003,29
2004,36
2005,61
2006,46
2007,39
2008,32
2009,42
2010,55
2011,28
2012,48
2013,42
2014,23
2015,35
2016,23
