year,A1,A2,A3
,label A1,label A2,label A3
1987,9,2985,69
1988,17,2652,110
1989,7,3085,66
1990,3,2746,47
1991,15,3144,140
1992,9,2700,71
1993,6,2927,67
1994,2,2833,54
1995,17,2894,130
1996,8,3003,73
1997,5,2976,58
1998,21,2944,131
1999,11,2762,115
2000,9,3148,94
2001,11,2994,94
2002,6,2920,64
2003,6,2684,46
2004,12,2762,89
2005,13,2999,90
2006,14,2658,77
2007,9,2944,65
2008,6,2738,67
2009,10,3002,66
2010,8,2695,71
2011,6,2773,70
2012,20,2936,140
2013,14,2916,94
2014,14,2434,101
2015,8,2845,76
2016,8,2733,80
2016
2017,16,2818,115
2018,19,2341,130
2019,23,2762,161
2020,16,2488,149
2021,18,2798,150
2022,19,2661,120
2023,23,2664,219
2024,17,2998,152
2025,39,2399,227
2026,20,2705,154
2027,16,2454,117
2028,16,2659,116
2029,13,2668,137
2030,25,2722,180
2031,9,2489,84
2032,19,2326,132
2033,30,2706,228
2034,33,2580,223
2035,31,2489,185
2036,25,2692,183
2037,12,2518,109
2038,15,2814,111
2039,14,2790,146
2040,26,2651,178
2041,21,2480,141
2042,23,2534,154
2043,27,2497,193
2044,20,2693,159
2045,46,2595,297
2046,57,2557,331
