year,F1,F3,M4
,label F1,label F3,label M4
1987,60,129,1
1988,72,127,1
1989,87,139,1
1990,49,138,1
1991,72,142,1
1992,61,124,3
1993,78,135,2
1994,55,128,3
1995,62,131,0
1996,64,135,1
1997,72,132,2
1998,74,144,3
1999,53,124,3
2000,84,145,2
2001,78,136,1
2002,61,128,2
2003,57,131,0
2004,57,125,1
2005,69,139,2
2006,57,119,2
2007,67,148,0
2008,69,127,3
2009,76,138,0
2010,46,131,2
2011,50,134,1
2012,75,141,2
2013,71,137,3
2014,42,121,1
2015,71,132,3
2016,34,137,2
2016
2017,49,138,1
2018,47,122,3
2019,68,143,2
2020,46,126,4
2021,41,139,3
2022,49,127,0
2023,45,126,2
2024,73,151,4
2025,46,125,4
2026,65,130,1
2027,58,132,3
2028,59,136,2
2029,30,134,2
2030,76,139,3
2031,31,130,1
2032,39,124,2
2033,66,138,2
2034,60,123,1
2035,38,125,2
2036,59,140,2
2037,71,130,2
2038,76,135,2
2039,75,139,1
2040,65,122,1
2041,45,130,2
2042,53,130,3
2043,47,131,1
2044,63,136,4
2045,49,126,2
2046,52,133,3

min,,80,0
max,,170,7
steps,,10,8
decimal
