year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,184,243,227,201
1988,333,110,147,210
1989,133,205,153,228
1990,198,175,161,241
1991,119,129,108,186
1992,219,209,227,291
1993,205,120,189,501
1994,284,179,233,295
1995,497,179,193,197
1996,121,120,262,309
1997,250,245,151,292
1998,102,240,159,251
1999,165,160,216,231
2000,183,149,308,248
2001,268,146,265,239
2002,257,107,146,303
2003,116,148,139,160
2004,165,112,202,152
2005,120,201,164,125
2006,142,114,217,198
2007,264,179,237,141
2008,238,149,227,131
2009,146,106,149,234
2010,152,165,210,218
2011,91,107,160,217
2012,141,266,138,257
2013,69,298,243,255
2014,124,122,302,203
2015,125,121,193,110
2016,224,304,57,99
