year,annual-hydric-deficit
1987,175
1988,72
1989,-102
1990,3
1991,-195
1992,267
1993,318
1994,280
1995,342
1996,95
1997,207
1998,55
1999,64
2000,178
2001,208
2002,90
2003,-266
2004,-103
2005,-121
2006,-79
2007,88
2008,48
2009,-118
2010,-9
2011,-245
2012,85
2013,173
2014,15
2015,-244
2016,-11
