year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.6,12.1,17.5,7.0
1988,4.9,13.7,16.6,7.1
1989,5.5,13.2,17.9,6.9
1990,6.4,13.0,17.1,6.7
1991,3.6,11.3,19.0,5.5
1992,4.1,13.1,17.3,5.9
1993,3.3,13.8,15.6,5.1
1994,4.6,12.3,17.7,8.0
1995,4.9,12.7,18.0,7.1
1996,2.3,12.6,16.0,5.5
1997,4.3,12.8,18.2,6.7
1998,4.6,13.3,16.6,5.1
1999,4.5,13.2,18.2,5.9
2000,4.8,13.8,16.9,8.1
2001,5.1,12.6,17.0,6.7
2002,5.2,13.4,16.9,7.6
2003,3.3,14.5,18.9,6.2
2004,3.6,12.7,17.7,6.2
2005,3.4,13.9,17.3,6.8
2006,2.2,13.4,19.0,8.7
2007,6.1,15.4,15.9,5.6
2008,5.0,13.5,16.3,5.9
2009,2.4,14.2,18.1,7.0
2010,2.6,13.0,17.3,5.0
2011,5.1,15.5,17.8,8.1
2012,4.0,13.2,17.3,7.3
2013,1.8,12.1,17.9,7.4
2014,6.3,13.9,17.3,8.3
2015,3.6,13.3,18.3,8.8
2016,4.4,12.9,18.6,6.0
