year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,sunflower,spring-field-peas,broad-bean,potatoes,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,70,67,50,70,90,30,20,35,40,400,550,110,125,110
2001,68,62,50,62,73,23,22,34,32,450,570,105,85,73
2002,71,69,55,65,78,29,27,40,35,400,600,118,75,63
2003,58,56,55,52,67,32,28,38,32,320,538,90,49,41
2004,81,76,65,62,90,38,32,45,40,450,680,130,93,79
2005,72,69,60,56,82,36,35,38,35,400,721,130,88,74
2006,70,67,60,55,70,31,25,40,28,370,713,105,88,75
2007,69,57,60,45,94,33,24,30,35,400,757,130,90,77
2008,71,68,70,50,81,34,28,50,45,400,718,130,93,79
2009,77,71,63,55,90,39,30,50,40,400,883,135,68,57
2010,72,67,65,54,83,33,26,44,33,360,780,115,77,68
2011,67,60,60,48,102,34,26,31,27,470,900,135,57,44
2012,60,59,50,46,79,26,28,44,46,360,859,121,70,67
2013,74,65,66,50,73,24,22,40,36,400,840,98,76,71
2014,75,74,60,50,100,38,21,39,36,500,934,131,84,71
2015,82,77,72,,58,37,25,39,32,320,850,72,53,46
2016,49,58,44,40,66,28,20,23,28,360,750,93,66,54
2017,62,56,54,40,104,31,35,29,28,350,900,130,72,56
