year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,63,-79,-39,128
1988,74,-69,-136,242
1989,151,-146,-125,129
1990,123,-221,-58,151
1991,78,-89,-144,147
1992,136,-163,-91,105
1993,170,-129,3,67
1994,73,-92,-40,192
1995,109,-46,-133,103
1996,31,-102,-52,170
1997,38,-114,-88,174
1998,112,-124,-20,133
1999,112,-131,-133,152
2000,85,-113,-66,209
2001,80,-87,-1,184
2002,113,-183,-133,60
2003,12,-77,-143,131
2004,100,-169,-53,89
2005,38,-156,-196,68
2006,23,-138,-172,164
2007,106,-158,76,147
2008,68,-116,13,165
2009,64,-87,-29,138
2010,69,-91,14,105
2011,43,-156,-13,111
2012,135,-55,-41,172
2013,31,-135,-58,92
2014,65,-98,-136,66
2015,53,-110,-161,46
2016,75,-144,-106,45
